,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
0,Chrysler,C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,Used,103000,Riyadh,114000,False
1,Nissan,Patrol,2016,Saudi,White,Full,4.8,Gas,Automatic,Used,5448,Riyadh,Negotiable,True
2,Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,72418,Riyadh,27500,False
3,Hyundai,Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,Used,114154,Riyadh,43000,False
4,Hyundai,Elantra,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,Used,41912,Riyadh,59500,False
5,Honda,Accord,2018,Saudi,Navy,Full,1.5,Gas,Automatic,Used,39000,Riyadh,72000,False
6,Toyota,Land Cruiser,2011,Saudi,White,Semi Full,4.5,Gas,Automatic,Used,183000,Riyadh,92000,False
7,GMC,Yukon,2009,Saudi,Bronze,Full,5.7,Gas,Automatic,Used,323000,Riyadh,Negotiable,True
8,Chevrolet,Impala,2019,Saudi,Black,Standard,3.6,Gas,Automatic,Used,70000,Riyadh,80000,False
9,Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,131000,Jeddah,32000,False
10,Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,Used,107000,Dammam,50000,False
11,Nissan,Patrol,2014,Saudi,White,Full,5.6,Gas,Automatic,Used,106000,Dammam,135000,False
12,Chevrolet,Tahoe,2018,Other,Grey,Semi Full,5.3,Gas,Automatic,Used,176140,Riyadh,153000,False
13,Mercedes,CLA,2020,Other,White,Standard,,Gas,Automatic,Used,20000,Riyadh,235000,False
14,Mercedes,E,2017,Saudi,Grey,Full,2.0,Gas,Automatic,Used,20600,Dammam,210000,False
15,Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,Used,83000,Jeddah,37000,False
16,Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,Used,7702,Dammam,45000,False
17,MINI,Copper,2016,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,Used,110000,Dammam,83000,False
18,Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,Used,58000,Al-Medina,24500,False
19,GMC,Yukon,2018,Saudi,White,Full,5.3,Gas,Automatic,Used,37000,Riyadh,Negotiable,True
